32.4429 	EXP 	fixation: autoDraw = False
32.4429 	EXP 	grating: autoDraw = False
32.4429 	EXP 	grating: ori = np.float64(4.5)
32.4429 	EXP 	fixation: autoDraw = True
32.5933 	EXP 	Device response: <KeyPress from None: t=32.41051730001345, value=left, duration=0.1720000000204891>
32.9261 	INFO 	Keyboard events cleared
32.9259 	EXP 	grating: autoDraw = True
32.9426 	EXP 	fixation: autoDraw = False
33.2258 	EXP 	grating: autoDraw = False
33.2929 	EXP 	Device response: <KeyPress from None: t=33.283097599982284, value=right, duration=None>
33.2943 	DATA 	Keypress: right
33.3091 	EXP 	fixation: autoDraw = False
33.3091 	EXP 	grating: autoDraw = False
33.3091 	EXP 	grating: ori = np.float64(4.5)
33.3091 	EXP 	fixation: autoDraw = True
33.4925 	EXP 	Device response: <KeyPress from None: t=33.283097599982284, value=right, duration=0.19359180005267262>
33.8088 	INFO 	Keyboard events cleared
33.8086 	EXP 	fixation: autoDraw = False
33.8086 	EXP 	grating: autoDraw = True
34.1084 	EXP 	grating: autoDraw = False
34.1255 	EXP 	Device response: <KeyPress from None: t=34.11700590001419, value=right, duration=None>
34.1271 	DATA 	Keypress: right
34.1418 	EXP 	fixation: autoDraw = False
34.1418 	EXP 	grating: autoDraw = False
34.1418 	EXP 	grating: ori = np.float64(-4.0)
34.1418 	EXP 	fixation: autoDraw = True
34.3087 	EXP 	Device response: <KeyPress from None: t=34.11700590001419, value=right, duration=0.1758455999661237>
34.6249 	INFO 	Keyboard events cleared
34.6248 	EXP 	grating: autoDraw = True
34.6413 	EXP 	fixation: autoDraw = False
34.9244 	EXP 	grating: autoDraw = False
34.9599 	DATA 	Keypress: right
34.9751 	EXP 	Device response: <KeyPress from None: t=34.95933199999854, value=right, duration=None>
34.9912 	EXP 	fixation: autoDraw = False
34.9912 	EXP 	grating: autoDraw = False
34.9912 	EXP 	grating: ori = np.float64(4.5)
34.9912 	EXP 	fixation: autoDraw = True
35.1414 	EXP 	Device response: <KeyPress from None: t=34.95933199999854, value=right, duration=0.16748599999118596>
35.4910 	INFO 	Keyboard events cleared
35.4909 	EXP 	fixation: autoDraw = False
35.4909 	EXP 	grating: autoDraw = True
35.7913 	EXP 	grating: autoDraw = False
35.8078 	EXP 	Device response: <KeyPress from None: t=35.79403430002276, value=right, duration=None>
35.8094 	DATA 	Keypress: right
35.8241 	EXP 	fixation: autoDraw = False
